movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown
the-lord-of-the-rings-the-return-of-the-king;10;TheApplegnome;/user/TheApplegnome;Dec  9, 2014;"[ ""A flawless movie that might be one of the best ever made."", """", ""Stunning, massive, entertaining, deep and dramatic. Those words truly illustrate how great this last installment of The Lord of the Rings truly is. The high amount of action and the uniqueness keeps me entertained. The story is so touching and I the first time I saw this movie I started to cry. The Lord of the Rings trilogy is much about us humans as it is about evil; it shows us that we can live together even though we are different. The extended edition of The Return of the King got much more logical things than the original, even though it’s almost 4,5 hours long. The CGI are in fact in my opinion greater than in The Fellowship of the Ring and The Two Towers, but there are some vague practical effects, but I don’t really care because the movie is awesome! The ending in The Return of the King is in level with The Dark Knight Rises and Inception; it's spectacular as it is touching. I totally cried in the ending. It's extremely hard to illustrate my feelings about The Return of the King, because that would only result in an emotional response."", """", ""This movie is both dramatic and spectacular."", """", ""The Return of the King gets a 10/10."" ]";0;0;0;0;0;0
star-trek;10;TheApplegnome;/user/TheApplegnome;Jul 18, 2016;"[ ""Another franchise has been brought back to life, with renewed energy -- and a surprisingly well crafted script that fully understands its source material."", """", ""Enterprise and its crew is back. It’s an entertaining ride with many ups and downs in this space-opera. Kirk, Spock and all the other main characters are exemplary visualized. The chemistry is natural, antagonist as protagonist's motivations are all logical, as what they should be. A well established plot with ton of action & adventure is something that most of the time will please the eye. But more character development and inside to the main individuals could have made the film even more flawless – and it might focus a bit too much on plot and action -- rather than on the characters themselves. Still, it’s a stunning ride into the vastness of space, and it’s one of my favorite films of all time!"", """", ""Personal rating: 100/100"", ""Critical rating: 92/100"" ]";0;0;0;0;0;0
interstellar;10;TheApplegnome;/user/TheApplegnome;Nov  7, 2014;"[ ""Christopher Nolan did it again; Interstellar will twist your mind and fill your heart with love. Interstellar isn't just a massive space-adventure. It's much more than that; it’s a film about human bonding."", """", ""Interstellar is by far the best sci-fi film of the year, and one of the greatest of all time. The vast storyline about the connection between us humans is so incredible, I felt so attracted to the characters and I almost started crying because it's so dramatic and epic. I usually don't feel so attracted to the characters like in Interstellar, so this was just so incredible! When it comes to the actors and their roles, are they all superb. Matthew McConaughey as Cooper is just fantastic; he's both dramatic and stunning in action. Jessica Chastain and Mackenzie Foy as Murph are both awesome, even a bit touching. One aspect of Interstellar (when it comes to the actors) is that there's one actor I didn't expect to be in this film, so it was a big surprise! There's even some humor between the characters in this film, which I didn't expect. As mentioned, the story is wonderful, but there might be some slow scenes in the end of the first act, but the ending explained it all so there's nothing wrong about it!"", """", ""Interstellar is a film that just kept going and going when I saw it. I thought it would end like 3 or 4 times but instead it just continued with even more exiting and innovated things that I never have seen before. I can tell you this: if you thought Inception was something innovating and spectacular, go and watch Interstellar, you won't regret it! Some people think the last act of the film is less impressive, but I don't agree, it's fantastic! The structure of Interstellar is in my opinion very similar with The Prestige, maybe not as excessive but I totally love it! It's so clear that this is a film by Christopher Nolan, just the visuals are incredible and I was so amazed while watching it. It even looks more real than the film Gravity, and the first 30 minutes of Interstellar is totally superior than Gravity. I couldn't even see if there are CGI in this film, and that there's no 3D is a great thing!"", """", ""There are some minor flaws in the film, and the first thing is the soundtrack. Yes it's from the famous composer Hans Zimmer, and I love his previous works like the music in The Dark Knight Trilogy and in the film Inception. But it's not exactly as massive and touching as I thought it would be. It's still impressive, but not as vast or touching. Another thing is the first act of the film; it felt like they had cut too much scenes, because it felt a bit to fast. There could also have been a bit more action. The last aspect is the trailer, it doesn't spoil much about the film, but I think they should have shown less of the visuals. It could have resulted in even more surprising things with the film."", """", ""This is the best film from Christopher Nolan to date, but it's not a perfect film. Even though, I don't think we need to wait that long until he creates something even more spectacular than Interstellar."", """", ""Interstellar get a 9.5/10"" ]";36;59;36;23;0;0
interstellar;10;subcontracting;/user/subcontracting;Nov  5, 2014;[];42;69;42;27;0;0
interstellar;9;jmjne4545;/user/jmjne4545;Nov  5, 2014;"[ ""In my opinion, Interstellar certainly lives up to the hype. Words simply can't describe the experience I had while watching this movie unfold before my eyes in that glorious 70 MM Imax format. The visuals were jaw dropping, acting was superb, and the story was filled with originality and hand full of surprises along the way. There is so much to this movie you don't know about when you go into seeing it for the first time, which was a huge plus! The less you know about the story for this movie, the better. While there are a lot of positives for this movie, my only complaint would have to be the pacing of the story. There were a couple instances where I felt like the story was being rushed and that I had to just go along with what was going on at those points. Despite the movie being almost three hours long, I kinda wish it could be a little longer so that the story could progress more naturally. Other than that, I have no other negatives to mention. I walked out of the theater feeling satisfied and wanting to experience it again! And probably will!"" ]";27;48;27;21;0;0
interstellar;10;benutty;/user/benutty;Nov  5, 2014;"[ ""Not a film about science as we commonly understand it. In fact, Interstellar works hard to convince you to see science in unimagined ways and this (that most critics are using as a reason why the film fails) is its strongest asset. A film with incredible imagination, Interstellar weaves reductive iterations of themes like exploration, love and time together so cohesively that the audience is challenged to see them each with new wonder."", """", ""Anne Hathaway is given one of her most complex roles to date and her work here is both efficient and subtle. Technically, the editing, cinematography and score all work hard to bring the ideas of the story to new heights."" ]";28;52;28;24;0;0
mad-max-fury-road;10;Filmaholic;/user/Filmaholic;May 22, 2015;"[ ""This movie was an adrenaline fueled fever dream!  From the first shot to the last this movie had it all.  The cinematography was absolute top notch.  The performances from both Hardy and Theron were fantastic!  This movie was totally worth the 6 or so year wait.  If you are a fan of the OG films then by all means get out and see this.  I saw it in 3D which was good for depth but it was not REALLY necessary."" ]";8;16;8;8;0;0
godzilla-2014;10;Filmaholic;/user/Filmaholic;May 23, 2014;"[ ""I have to tell you that IMAX 3D is really the only way to watch this movie.  I enjoyed it thoroughly.  A lot of people say that the first half of the movie was slow.  It was, but there was a point to it..  It met my expectations exactly the way I wanted it to.  I believe that Ken Wanatabe's character was fantastic.  Cranston's character was good too, but Wanatabe really stole the show for me.  He is a great actor and cannot do any wrong.  The fight scenes were very good.  The movie was a little predictable in parts but still overall, very enjoyable."" ]";1;1;1;0;0;0
man-of-steel;10;Filmaholic;/user/Filmaholic;Jun 24, 2013;"[ ""So I finally saw this movie today and I must admit that it was really everything that I wanted in a Superman movie.  Henry Cavill was Superman, even though I really liked Brandon Routh, he just wasnt given the right medium to really fully embody the character that Cavill played in this film."", """", ""Amy Adams was a very good Lois Lane, with her larger than life reporter.  She was given little time to grow as a character but I am sure if there is a sequel then that will give her more time to shine."", """", ""The actor who played Zod was very good.  I mean I will always have a place in my heart of Terrence Stamp, but this new Zod was very good."", """", ""Russel Crowe as Jor-El was very well played and not over acted at all."", """", ""Overall this was a very interesting and refreshing new take on Superman, and I hope there is something more coming down the pipeline on this one"" ]";17;23;17;6;0;0
the-cabin-in-the-woods;10;Filmaholic;/user/Filmaholic;Apr 20, 2012;[];6;8;6;2;0;0
the-avengers-2012;10;Filmaholic;/user/Filmaholic;May  9, 2012;"[ ""This movie is by far the best start to the summer movie season we've had in a LONG time.  Everything was perfectly timed and the cinematography was stunning.  Some of the best 3D work since Hugo.  Robert Downey Jr was completely on top of his game in this movie.  He has taken the character of Tony Stark and taken him to a WHOLE NEW LEVEL!!  This movie was big and epic and its the way it should've been!!  Would almost want to see it again but only in IMAX, but Dark Shadows comes out next week, so it looks like a one and done deal for me until I purchase it on 3D Blu Ray."", ""In closing, if you havent seen this movie yet, get out there and see it.  You'll laugh, applaud, and cheer right till the very end.  Also, FYI, stay til after the end of the credits for a special treat!"" ]";0;0;0;0;0;0
the-man-with-the-iron-fists;10;Filmaholic;/user/Filmaholic;Nov 13, 2012;"[ ""If you have a hankering for some 60's and 70's Asian cinema, then this is the movie for you.  I really have nothing bad to say about this movie.  All of the actors performances went extremely well with the source material.  Even Bautista can act, was very surprised about that.  Just a fun, crazy, awesome action epic that never at any point takes itself too seriously.  It really seems like everyone had a blast masking this one."", """", ""If you like a lot of blood, people flying around with crazy ass weapons then this is the flick for you.  You should not be disappointed."" ]";0;0;0;0;0;0
hector-and-the-search-for-happiness;10;Filmaholic;/user/Filmaholic;Sep 24, 2014;"[ ""Please don't go by what the \""critics\"" have to say here.  This is a VERY different from role for Pegg, so for people that have this preconceived notion that this is a typical Pegg movie, you are going to be greatly disappointed.  This movie is a \""journey\"" into searching within ourselves.  I am sure that everyone well relate to different parts of the this movie."" ]";7;8;7;1;0;0
interstellar;10;Filmaholic;/user/Filmaholic;Nov  5, 2014;"[ ""I emplore everyone to put the critics aside and go into this film with an open mind.  It does get pretty science-y but do not let that stop you!  This movie is a brilliant opus to both 2001 (with a MUCH more satisfying climax) not saying the end of 2001 is bad, also another amazing movie.  There is also some subtle points to the movie The Black Hole.  If you have seen both of these, movies then you should get the references.  Jaw-dropping soundtrack!  Cinematography is some of the best that I have seen this year.  I really feel that this is Nolan's love letter to the genre.  The movie is not without fault though, but everything blended so WELL that I still gave it a 10.  I have not had a movie invoke so much emotion as this one did in a long time!  One more thing to note, if you plan on seeing this, please see it in 70MM IMAX!  It just adds to the size and scope of the movie!"" ]";28;53;28;25;0;0
war-for-the-planet-of-the-apes;9;LamontRaymond;/user/LamontRaymond;Jul 16, 2017;"[ ""What an excellent movie - and about 10 times better than any comic book movie or the shallowness of Baby Driver.  It's the first bona fide great movie of the summer.  The acting is incredible, the directing impeccable, and the writing?  Second to none. Congrats to everyone involved"" ]";5;5;5;0;0;0
patti-cake;9;LamontRaymond;/user/LamontRaymond;Aug 20, 2017;"[ ""One of the best, most uplifting movies of the year.  Danielle Macdonald is an absolute revelation. And it's amazing to see Bridgette Everett in such a powerful dramatic role for a change. (Also, awesome to see Cathy Moriarty back as Nana).  I've heard that Danielle is not a rapper, but she does a pretty spectacular job doing it in this film."" ]";0;0;0;0;0;0
the-big-sick;9;LamontRaymond;/user/LamontRaymond;Jun 23, 2017;"[ ""Easily the best romantic comedy since Silver Linings Playbook.  Just a great, great film. It's refreshing to see a comedic actor who is able to cross-over to drama - when necessary - to pull off a heavy sequence.  Kumail is really amazing in this part, and the supporting cast is phenomenal.  Ray Romano and Holly Hunter are pitch perfect casting choices.  And I love Kumail's on-screen family.  They didn't feel like comedy caricatures played for laughs.  His dad, in particular - the same guy who played the therapist in Silver Linings - is always amazing.  It's a slam-dunk summer film amidst a minefield of crappy, big-budget, comic book fare."" ]";8;11;8;3;0;0
moonlight-2016;10;LamontRaymond;/user/LamontRaymond;Nov 16, 2016;[];2;12;2;10;1;0
deepwater-horizon;9;LamontRaymond;/user/LamontRaymond;Sep 30, 2016;"[ ""I had goosebumps from the last third of the film through the credits. What a respectful, impactful, exciting film that made me feel, for lack of a better word, unworthy. These courageous people acted so heroically, not only to protect and save their friends/co-workers, but even to do right by the rig and, in effect, the environment. Mark Wahlberg is at his subtle acting best, and Kurt Russel is simply outstanding.  Gina Rodriquez is also amazing in a smaller role. Not sure what the make of Malkovich as the \""villain\"" - he's almost doing a James Carville Ragin Cajun....but hey, they can't all be perfect. . it's a really solid film."" ]";1;6;1;5;0;0
hell-or-high-water;10;LamontRaymond;/user/LamontRaymond;Aug 12, 2016;"[ ""Hands down the best film of 2016.  The three lead actors blew me away.  Ben Foster always brings it, but he delivers a level of nuance I was even surprised by. Chris Pine finally gets a chance to demonstrate his real acting chops - he's been wasting his time in too many Star Trek flicks.  And The Dude?  Jeff Bridges?  This might be his career-defining performance. Beyond the bravura acting performances, the film just has an easy, authentic feel to it. You can almost smell West Texas. It's a beautifully shot work. Won't spoil the plot - just go see this film. It's the antidote to what's been ailing Hollywood for the last couple of years. If this sucker doesn't deliver at least 2 statues in late February 2017, I'll be disappointed. (But what else is new?)"" ]";14;18;14;4;1;0
de-palma;9;LamontRaymond;/user/LamontRaymond;Jun 11, 2016;"[ ""Very solid movie. One of the worst aspects of those Q&As with directors and stars when you see a screening is when the interviewer/moderator poses long-winded, ridiculous questions. There is NONE of that here.  You get 2 things - De Palma taking, and clips from his movies (and a few others he was involved in at one time or another - and nothing more!   It's concentrated De Palma for the entire movie, and he imparts some amazing nuggets about directing and movie-making in general.  I'm a huge fan of Blow Out and Body Double, so I was VERY happy that he spent plenty of time on each.  This is a guy who pushed the limits, and he made some incredibly unique films.  I whole-heartedly recommend this picture."" ]";2;2;2;0;0;0
midnight-special;9;LamontRaymond;/user/LamontRaymond;Mar 19, 2016;"[ ""An excellent film.  I'm a Jeff Nichols fan - loved Take Shelter and MUD in particular - so I wasn't surprised to have enjoyed this one.  I appreciate that he doesn't dwell on exposition and just throws you into a partially evolved story.  Joel Edgerton is terrific in this film, as is Adam Driver - neither of whom did I realize were in it.  But the actor who plays the boy - who was in St. Vincent - is amazing."" ]";8;8;8;0;0;0
brooklyn;10;LamontRaymond;/user/LamontRaymond;Nov  6, 2015;"[ ""Fantastic film - timeless themes, beautiful story.  I can't imagine anyone walking out of the theater without being impressed.  This has been a terrible year for film quality, but this one should be able to carry the torch.  I hope it's nominated for Best Picture."" ]";16;17;16;1;1;0
sisters;9;LamontRaymond;/user/LamontRaymond;Dec 19, 2015;"[ ""And the winner of the Star Wars opening weekend?  Sisters!  Sure, both films are good, but the writing in Sisters buries the Force Awakens.  My whole theater exploded on so many occasions, it made my sides hurt. If not for just a couple of lulls, this might be my comedy of the year. Those two ladies have amazing chemistry, and the supporting cast is incredible.  Just go see it!"" ]";3;6;3;3;0;0
sicario;10;LamontRaymond;/user/LamontRaymond;Sep 18, 2015;"[ ""GREAT movie, that was entirely undersold by the trailer.  I actually think that Josh Brolin seals the show. Can't imagine there will be many better movies for the mainstream moviegoer this year.  Of course, there will be long, boring biopics trotted out for Oscar season, but for my money, this very narrowly tailored and spare film will beat them all. Everyone in my theater was on the edge of their seats.  Phenomenal stuff."" ]";22;29;22;7;1;0
the-visit-2015;9;LamontRaymond;/user/LamontRaymond;Sep 15, 2015;[];3;4;3;1;0;0
the-end-of-the-tour;9;LamontRaymond;/user/LamontRaymond;Aug  5, 2015;[];4;4;4;0;0;0
the-gift-2015;9;LamontRaymond;/user/LamontRaymond;Aug 11, 2015;"[ ""Joel did a fantastic job in writing & directing this film.  (And, of course, acting in it.)  Love thrillers with a moral instead of just indiscriminate pursuit by a bad guy.  Karma bites back hard, and therefore it's a satisfying venture.  Love the inherent ambiguity in several of the plot points."" ]";1;2;1;1;0;0
inside-out-2015;9;LamontRaymond;/user/LamontRaymond;Jun 20, 2015;"[ ""I\""m not a big fan of animated movies, but wow, this one gets you emotionally.  Much of the movie reminds me of the early scenes in UP, when they look back on the old couple's life.  That REALLY got me.  This movie has it's share of zany fun, but there's plenty of heart-wrenching moments - I could feel the waterworks flowing around me in the theater. It definitely makes you \""pay\"" a bit fore the emotional payoff toward the end.  It drew me in so much that I was a little shocked when the credits rolled.  That's it? It's over?  Sign of a good movie, for sure."" ]";6;9;6;3;0;0
mad-max-fury-road;9;LamontRaymond;/user/LamontRaymond;May 15, 2015;"[ ""Walking out of this movie, so many superlatives were competing for attention in my brain. The movie is an absolute must-see - let's get that out of the way from the top. For me, it's probably the best, most artistic action film since the original Matrix. Furiosa (Charlize Theron) is clearly the best heroine since Ripley in the Alien films. Going in, I figured the action would be fatiguing, and the desert backdrop would get samey after a while, but I couldn't have been more wrong on both counts. Miller's inventiveness knows know bounds. If I had to point to a slightly weak link in the chain, it would be the Immortan Joe character. No doubt, he's fun to look at and provides some of the comedy, but as a character, he is not nearly as personally threatening as the chief baddies in the original Mad Max and Road Warrior flicks.  But the supreme creativity and the acrobatics in the driving sequences are so over-the-top phenomenal, you'll be conscious of the silly grin on your face when things finally let up and you allow yourself to exhale."" ]";23;45;23;22;0;0
whiplash;10;LamontRaymond;/user/LamontRaymond;Oct 12, 2014;"[ ""Easily the best movie of 2014 so far. It has all the hallmarks of a singular vision that was not messed with by a studio.  19 shooting days produced a marvelous film with two amazing lead actors.  I can't remember a movie since The Hurt Locker that produced anything close to this level of intensity.  In a way, it also reminded me of Jiro Dreams of Sushi in the conductor/teacher/mentor's pursuit of perfection.  These standards and pursuits are rare in society these days - and sure, the introduction of violence is arguably too much  - but in a way, it's an admirable model."" ]";8;12;8;4;1;0
obvious-child;9;LamontRaymond;/user/LamontRaymond;Jun  7, 2014;"[ ""Fantastic movie.  Jenny Slate is going to be a huge star.  She's funny as hell, but not in an obnoxious way.  Entirely sympathetic in her approach.  And immensely likable.  The story is a classic choice for a good modern comedian.  It's handled with care and a degree of class, yet it's riddled with very funny low-brow humor.  Great supporting cast with Cross and Hoffman.  See it."" ]";4;6;4;2;0;0
enemy;9;LamontRaymond;/user/LamontRaymond;Mar 30, 2014;"[ ""One hell of a movie - the type of movie that gets me fired up to go to the theater. I'll simply call out the sickly yellow muck of the Toronto skyline as so effective.  Loved it.  And one critic suggested that the final shot is possibly the scariest he's ever seen in a film - I might have to agree."" ]";0;0;0;0;0;0
american-hustle;9;LamontRaymond;/user/LamontRaymond;Dec  4, 2013;"[ ""If you're a lover the Silver Linings Playbook cast, they're pretty much all back in this film. I'd heard a ton about the ABSCAM scandal through out my youth, so I'm happy that Russell decided to bring the story to life in such a hilarious fasion.  Cooper isn't as amazing as you'd like him to be here (he needed to tone down the mania just a bit), but Christian Bale, Jennifer Lawrence, and, especially, Amy Adams carry the weight of this film. And yes, lest I forget, Renner is brilliant. I'd also like to specifically call out the music as dead-on perfect.  The film feels a touch long, but you really can't go wrong with this movie."" ]";18;24;18;6;0;0
out-of-the-furnace;9;LamontRaymond;/user/LamontRaymond;Dec  5, 2013;"[ ""Christian Bale delivers a subtle, nuanced performance in this highly enjoyable film. The setting is essentially a principal cast member  it's Deer Hunter country: Pennsylvania, West Virginia, Southern Jersey.  Much like Winter's Bone, the director effectively establishes the extra-legal power structure in these mountain towns. Tradition rules of law and order do not apply. The harsh reality of steel mill careers, military life, and prison stints underline a very traditional story of desperation, justice, and revenge. The trailer suggests much more action and excitement than the film actually delivers, but I very much enjoyed this film for its emotionally resonant, quiet sequences featuring a stellar cast."" ]";5;6;5;1;0;0
youre-next;9;LamontRaymond;/user/LamontRaymond;Aug 23, 2013;[];4;6;4;2;0;0
much-ado-about-nothing;9;LamontRaymond;/user/LamontRaymond;Jun  9, 2013;[];0;1;0;1;0;0
the-central-park-five;9;LamontRaymond;/user/LamontRaymond;Dec  2, 2012;"[ ""I was fortunate to screen this heartbreaking film with one of the directors and two of the CP 5 - three really excellent people.  In lieu of writing a full review, I'd just like to urge everyone who reads this to say only one when when placed into custody - \""lawyer.\""  By doing so, it's not like pleading the 5th - no fact-finder or judge is going to presume you're guilty of anything.  These kids were absolutely bullied, but we can't assume that our government is run by angels, as Alexis de Tocqueville suggested - we have to protect ourselves.  So if you feel you've been wrongly detained - don't say more than that single word - lawyer - until you've had a chance to discuss your situation with your legal representative, whether he or she is someone you or your family finds, or the court appoints to you. This is NOT the same as not cooperating with a police investigation when you're not in custody.  But when YOUR freedom is at stake, don't hang yourself with your own words.  The admissions by these boys - which were coerced - overwhelmed the jury and directly led to their jail sentences.  I'm so sorry it happened that way.  Again, when you're Mirandized, listen to the words, close your mouth, and ask for a lawyer."" ]";1;1;1;0;0;0
piranha-3-d;10;LamontRaymond;/user/LamontRaymond;Aug 21, 2010;"[ ""I agree with Steve Persall of the St. Pete Times 100%, and I'm glad he had the balls to call a spade a spade.  It's simply a flat-out fun, slick movie, with all the boobs and gore a guy could want on a late Friday movie! (though there were plenty of women in my screening who were roaring just as loudly as the dudes.)   And yes, they take full advantage of 3D when it comes to Kelly Brook's body parts, which is a great thing.  Jerry O'Connell as the Girls Gone Wild guy is spot-on.  And it's great to see Liz Shue back in action - she's ageless!"" ]";1;2;1;1;1;0
nice-dreams;9;LamontRaymond;/user/LamontRaymond;Jul 24, 2017;[];0;0;0;0;0;0
back-to-school;10;LamontRaymond;/user/LamontRaymond;Apr 29, 2017;"[ ""This is easily one of the funniest movies of all-time. The scene which sees Thornton Mellon attending the intro to economics class, challenging the teacher at every point - illustrating the real clash between the theoretical and the real world practicalities of running a business - insanely funny. Unlike his roles in Easy Money and Caddyshack, you really get to know Dangerfield's character, and you feel for him.  A minor miracle.  I'm not going to spoil anything more - just stream it or rent it.  One of the best of the era."" ]";1;1;1;0;1;0
eddie-murphy-raw;10;LamontRaymond;/user/LamontRaymond;Jun 30, 2017;"[ ""I probably watched Raw and his earlier stand-up movie Delirious about 20 times each.  Hilarious stuff. Dave Kehr, who tanked it, clearly has zero sense of humor.  This was a movie of its time, and came at the height of Murphy's powers. He could do no wrong, and his comedy was pitch-perfect.  He lightened up a TON when he got to Dr. Dolittle, etc., but this stuff is hard-edged, take-no-prisoners comedy that I still cherish."" ]";0;0;0;0;1;0
the-bad-news-bears;10;LamontRaymond;/user/LamontRaymond;Jul 10, 2017;"[ ""One of my 3 favorite sports movies of all time, along with Hoosiers and Breaking Away.  I love the politically incorrect feel of the whole thing.  Matthau is pitch perfect, and Timmy Lupus represents the vast majority of us out on an island in center field.  A must-see."" ]";0;0;0;0;1;0
